Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,3,4,32992,2,193,85591,0.5,NA
C70A,3,4,111041,3,193,85591,1.4,NA
C70A,3,4,111041,4,193,85591,1,NA
C70A,3,4,160078,5,193,85591,1.4,NA
C70A,3,4,160078,6,193,85591,0.7,NA
C70A,3,4,25553,7,193,85591,0.6,NA
C70A,3,4,25553,8,193,85591,1,NA
C70A,3,4,32992,1,239,106130,2,803.6
C70A,3,4,32992,2,239,106130,0.7,805.3
C70A,3,4,111041,3,239,106130,1.3,805.9
C70A,3,4,111041,4,239,106130,1.3,805.1
C70A,3,4,160078,5,239,106130,1.5,814.1
C70A,3,4,160078,6,239,106130,1,814.9
C70A,3,4,25553,7,239,106130,0.9,808.5
C70A,3,4,25553,8,239,106130,1.1,807.5
C70A,3,5,107572,1,0,0,0,825.8
C70A,3,5,107572,2,0,0,0,825.5
C70A,3,5,24205,3,0,0,NA,824.5
C70A,3,5,24205,4,0,0,NA,825.2
C70A,3,5,35865,5,0,0,0,823.8
C70A,3,5,35865,6,0,0,0,824.1
C70A,3,5,35869,7,0,0,0,825.9
C70A,3,5,35869,8,0,0,0,826.4
C70A,3,5,107572,1,137,58572,0.5,NA
C70A,3,5,107572,2,137,58572,0.7,NA
C70A,3,5,24205,3,137,58572,2.6,NA
C70A,3,5,24205,4,137,58572,2.9,NA
C70A,3,5,35865,5,137,58572,0.4,NA
C70A,3,5,35865,6,137,58572,0.6,NA
C70A,3,5,35869,7,137,58572,0.5,NA
C70A,3,5,35869,8,137,58572,0.6,NA
C70A,3,5,107572,1,193,85591,1.3,NA
C70A,3,5,107572,2,193,85591,2,NA
C70A,3,5,24205,3,193,85591,3.8,NA
C70A,3,5,24205,4,193,85591,4.1,NA
C70A,3,5,35865,5,193,85591,2.7,NA
C70A,3,5,35865,6,193,85591,1.3,NA
C70A,3,5,35869,7,193,85591,1.2,NA
C70A,3,5,35869,8,193,85591,1.9,NA
C70A,3,5,107572,1,239,106130,1.3,822.8
C70A,3,5,107572,2,239,106130,2,820.6
C70A,3,5,24205,3,239,106130,3.3,822.4
C70A,3,5,24205,4,239,106130,3.2,822.9
C70A,3,5,35865,5,239,106130,2.1,818.8
C70A,3,5,35865,6,239,106130,1.4,820.8
C70A,3,5,35869,7,239,106130,0.8,822.5
C70A,3,5,35869,8,239,106130,1.6,821.5
C70A,3,6,2868,1,0,0,0,824.6
C70A,3,6,2868,2,0,0,0,824.7
C70A,3,6,30942,3,0,0,NA,823.6
C70A,3,6,30942,4,0,0,NA,822.9
C70A,3,6,81394,5,0,0,0,823.6
C70A,3,6,81394,6,0,0,0,823.4
C70A,3,6,27776,7,0,0,0,826.1
C70A,3,6,27776,8,0,0,0,825.8
C70A,3,6,2868,1,137,58572,0.5,NA
C70A,3,6,2868,2,137,58572,0.4,NA
C70A,3,6,30942,3,137,58572,1.8,NA
C70A,3,6,30942,4,137,58572,2,NA
C70A,3,6,81394,5,137,58572,0.4,NA
C70A,3,6,81394,6,137,58572,0.6,NA
C70A,3,6,27776,7,137,58572,0.7,NA
C70A,3,6,27776,8,137,58572,0.5,NA
C70A,3,6,2868,1,193,85591,2.5,NA
C70A,3,6,2868,2,193,85591,1.8,NA
C70A,3,6,30942,3,193,85591,2.8,NA
C70A,3,6,30942,4,193,85591,3.8,NA
C70A,3,6,81394,5,193,85591,0.7,NA
C70A,3,6,81394,6,193,85591,1.2,NA
C70A,3,6,27776,7,193,85591,2.5,NA
C70A,3,6,27776,8,193,85591,1.6,NA
C70A,3,6,2868,1,239,106130,2,819.3
C70A,3,6,2868,2,239,106130,1.3,821.1
C70A,3,6,30942,3,239,106130,2.5,821
C70A,3,6,30942,4,239,106130,3.1,818.9
C70A,3,6,81394,5,239,106130,0.8,820.6
C70A,3,6,81394,6,239,106130,0.5,820.7
C70A,3,6,27776,7,239,106130,1.9,821.5
C70A,3,6,27776,8,239,106130,1.2,822
C70A,4,7,15870,1,0,0,NA,841.4
C70A,4,7,15870,2,0,0,NA,841.5
C70A,4,7,13462,3,0,0,0,839
C70A,4,7,13462,4,0,0,0,839
C70A,4,7,78960,5,0,0,NA,840.6
C70A,4,7,78960,6,0,0,NA,840.7
C70A,4,7,24759,7,0,0,NA,841
C70A,4,7,24759,8,0,0,NA,841
C70A,4,7,15870,1,374,153125,1.8,839.2
C70A,4,7,15870,2,374,153125,2,838.5
C70A,4,7,13462,3,374,153125,0.8,835.2
C70A,4,7,13462,4,374,153125,0.5,836.4
C70A,4,7,78960,5,374,153125,2.1,839.5
C70A,4,7,78960,6,374,153125,2.1,837.8
C70A,4,7,24759,7,374,153125,2.1,838.7
C70A,4,7,24759,8,374,153125,1.8,838.7
C70A,4,7,15870,1,429,178601,2.4,NA
C70A,4,7,15870,2,429,178601,2.7,NA
C70A,4,7,13462,3,429,178601,1.5,NA
C70A,4,7,13462,4,429,178601,NA,NA
C70A,4,7,78960,5,429,178601,NA,NA
C70A,4,7,78960,6,429,178601,1.9,NA
C70A,4,7,24759,7,429,178601,2.4,NA
C70A,4,7,24759,8,429,178601,2.7,NA
C70A,4,7,15870,1,484,204963,2.8,837.2
C70A,4,7,15870,2,484,204963,3,836
C70A,4,7,13462,3,484,204963,1.8,831.8
C70A,4,7,13462,4,484,204963,1.7,833.7
